Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,sin_day,cos_day,sin_month,cos_month,reindexed_id
12-06-2000,1464.4,1477.55,1437.15,1440.4,28468653,15362900000,23.87,4.81,1.36,0.587785252,-0.809016994,1.22E-16,-1,1
13-06-2000,1438.8,1438.8,1411.9,1432.9,37250861,19297300000,23.74,4.79,1.36,0.406736643,-0.913545458,1.22E-16,-1,1
14-06-2000,1434.95,1459.15,1423.95,1435.5,37371054,20586800000,23.79,4.77,1.38,0.207911691,-0.978147601,1.22E-16,-1,1
15-06-2000,1437,1452.8,1422.4,1445.25,30332490,21619600000,23.95,4.81,1.37,5.67E-16,-1,1.22E-16,-1,1
16-06-2000,1443.15,1480.85,1441.6,1477.3,39625952,23652200000,24.48,4.91,1.34,-0.207911691,-0.978147601,1.22E-16,-1,1
19-06-2000,1477.55,1510.45,1477.55,1498.75,37008819,26033800000,24.84,4.98,1.27,-0.743144825,-0.669130606,1.22E-16,-1,1
20-06-2000,1498,1518.05,1497.05,1507.1,32047330,21649700000,24.98,5.01,1.26,-0.866025404,-0.5,1.22E-16,-1,1
21-06-2000,1524.05,1539.1,1470.4,1475.15,30544515,21746500000,24.45,4.91,1.29,-0.951056516,-0.309016994,1.22E-16,-1,1
22-06-2000,1475.65,1491.4,1461.3,1488.25,42444916,22936500000,24.67,4.95,1.28,-0.994521895,-0.104528463,1.22E-16,-1,1
23-06-2000,1487.85,1499.85,1462.75,1472.2,62807049,28951900000,22.95,4.89,1.29,-0.994521895,0.104528463,1.22E-16,-1,1
26-06-2000,1472.15,1472.15,1431.25,1451.65,28885013,16403100000,22.63,4.82,1.23,-0.743144825,0.669130606,1.22E-16,-1,1
27-06-2000,1452.8,1467.15,1448.95,1454.3,41444271,21873600000,22.67,4.83,1.23,-0.587785252,0.809016994,1.22E-16,-1,1
28-06-2000,1453.7,1474.7,1445.6,1470,25720842,15400800000,22.91,4.88,1.27,-0.406736643,0.913545458,1.22E-16,-1,1
29-06-2000,1471.35,1505.75,1471.35,1492.35,41360755,22565400000,23.26,4.96,1.25,-0.207911691,0.978147601,1.22E-16,-1,1
30-06-2000,1490.2,1490.65,1462.45,1471.45,39155406,20119500000,22.94,4.89,1.26,-1.13E-15,1,1.22E-16,-1,1
03-07-2000,1473.45,1498.7,1473.45,1495.25,39577037,25702800000,23.31,4.97,1.09,0.587785252,0.809016994,-0.5,-0.866025404,1
04-07-2000,1496.15,1516.8,1494.8,1511.3,37921171,22623900000,23.56,5.02,1.08,0.743144825,0.669130606,-0.5,-0.866025404,1
05-07-2000,1511.5,1530.9,1511.5,1526.05,51276438,25101800000,23.5,4.86,1.11,0.866025404,0.5,-0.5,-0.866025404,1
06-07-2000,1525.15,1525.15,1504.05,1516.8,41999154,20203300000,23.35,4.83,1.11,0.951056516,0.309016994,-0.5,-0.866025404,1
07-07-2000,1517,1528.15,1513.4,1517.6,40341969,18015400000,23.37,4.83,1.11,0.994521895,0.104528463,-0.5,-0.866025404,1
10-07-2000,1518.15,1523.2,1502.7,1509.65,40338082,17744200000,23.24,4.81,1.08,0.866025404,-0.5,-0.5,-0.866025404,1
11-07-2000,1510.55,1523.1,1506.15,1518.55,47327973,24235200000,23.38,4.84,1.08,0.743144825,-0.669130606,-0.5,-0.866025404,1
12-07-2000,1518.7,1537.1,1507.95,1533.35,41648670,23794500000,23.61,4.88,1.07,0.587785252,-0.809016994,-0.5,-0.866025404,1
13-07-2000,1535.55,1564.75,1513.65,1522.6,47987006,29695000000,23.44,4.85,1.08,0.406736643,-0.913545458,-0.5,-0.866025404,1
14-07-2000,1522.2,1534.35,1505.9,1509.75,50970729,35592900000,23.25,4.81,1.09,0.207911691,-0.978147601,-0.5,-0.866025404,1
17-07-2000,1509.25,1512.25,1475.15,1479.65,39534845,22625500000,22.78,4.71,1.06,-0.406736643,-0.913545458,-0.5,-0.866025404,1
18-07-2000,1479.3,1482.9,1458.6,1463.1,39629219,24047600000,22.53,4.66,1.07,-0.587785252,-0.809016994,-0.5,-0.866025404,1
19-07-2000,1464.55,1468.55,1432.85,1435.8,38459509,23072800000,22.11,4.57,1.09,-0.743144825,-0.669130606,-0.5,-0.866025404,1
20-07-2000,1434.95,1443.25,1416,1424.2,44962303,21354200000,21.93,4.54,1.1,-0.866025404,-0.5,-0.5,-0.866025404,1
21-07-2000,1424.9,1435.2,1394.3,1397.25,47900266,25057600000,21.51,4.45,1.12,-0.951056516,-0.309016994,-0.5,-0.866025404,1
24-07-2000,1397.05,1397.05,1310.85,1317.75,41605572,22597100000,20.47,4.25,1.17,-0.951056516,0.309016994,-0.5,-0.866025404,1
25-07-2000,1317.35,1363.45,1269.25,1348.9,52145532,29812000000,20.96,4.35,1.14,-0.866025404,0.5,-0.5,-0.866025404,1
26-07-2000,1350.8,1371.8,1315.15,1318.25,35752137,20783900000,20.48,4.25,1.19,-0.743144825,0.669130606,-0.5,-0.866025404,1
27-07-2000,1317,1342.75,1291.3,1338.05,41436644,25885600000,20.79,4.32,1.18,-0.587785252,0.809016994,-0.5,-0.866025404,1
28-07-2000,1337.7,1359.4,1327.95,1333.8,44541451,26476600000,20.72,4.3,1.18,-0.406736643,0.913545458,-0.5,-0.866025404,1
31-07-2000,1333.3,1343.65,1317.3,1332.85,28942787,17104400000,20.71,4.3,1.18,0.207911691,0.978147601,-0.5,-0.866025404,1
01-08-2000,1332.85,1344.5,1322.6,1326.85,32539550,16465000000,20.58,4.29,1.19,0.207911691,0.978147601,-0.866025404,-0.5,1
02-08-2000,1323.7,1333.85,1312.25,1331.9,30378509,15170900000,20.66,4.31,1.18,0.406736643,0.913545458,-0.866025404,-0.5,1
03-08-2000,1330.7,1339.4,1319,1321.25,37075727,20039200000,20.49,4.27,1.19,0.587785252,0.809016994,-0.866025404,-0.5,1
04-08-2000,1320.25,1333.15,1302.65,1318.55,38818913,23981000000,20.45,4.27,1.19,0.743144825,0.669130606,-0.866025404,-0.5,1
07-08-2000,1319.7,1321.7,1299.9,1310.8,33735626,17551700000,20.33,4.24,1.2,0.994521895,0.104528463,-0.866025404,-0.5,1
08-08-2000,1312.1,1348.25,1311.15,1345.6,38046488,27029400000,20.87,4.35,1.17,0.994521895,-0.104528463,-0.866025404,-0.5,1
09-08-2000,1345.95,1363.95,1341.05,1344.95,44986130,22784500000,20.86,4.35,1.18,0.951056516,-0.309016994,-0.866025404,-0.5,1
10-08-2000,1345.25,1360.4,1325.15,1328,44327298,21412200000,20.09,4.22,1.2,0.866025404,-0.5,-0.866025404,-0.5,1
11-08-2000,1328.15,1328.15,1306.6,1310.75,36412192,18016100000,19.74,4.15,1.21,0.743144825,-0.669130606,-0.866025404,-0.5,1
14-08-2000,1312.25,1321.55,1295.45,1317.9,43856581,17544900000,19.85,4.18,1.18,0.207911691,-0.978147601,-0.866025404,-0.5,1
16-08-2000,1319.35,1354.95,1319.35,1351.45,40974798,20176800000,20.35,4.28,1.16,-0.207911691,-0.978147601,-0.866025404,-0.5,1
17-08-2000,1351.5,1363.05,1334.95,1341.4,53407669,20360000000,20.2,4.25,1.17,-0.406736643,-0.913545458,-0.866025404,-0.5,1
18-08-2000,1342,1360.65,1339.05,1358.05,48685807,27598300000,20.45,4.3,1.16,-0.587785252,-0.809016994,-0.866025404,-0.5,1
21-08-2000,1358.75,1374.5,1358.75,1370.25,49039737,26235800000,20.62,4.34,1.15,-0.951056516,-0.309016994,-0.866025404,-0.5,1
22-08-2000,1370.75,1394.9,1370.75,1381.2,52198971,26821600000,20.78,4.37,1.14,-0.994521895,-0.104528463,-0.866025404,-0.5,1
23-08-2000,1381.6,1398.9,1376.9,1386.05,61613888,29096600000,20.87,4.39,1.13,-0.994521895,0.104528463,-0.866025404,-0.5,1
24-08-2000,1386.3,1390.45,1374.9,1386.95,44508722,24951900000,20.89,4.4,1.13,-0.951056516,0.309016994,-0.866025404,-0.5,1
25-08-2000,1387.35,1396.1,1377.75,1381.25,50255008,27378700000,20.8,4.38,1.14,-0.866025404,0.5,-0.866025404,-0.5,1
28-08-2000,1379.6,1383.45,1368.25,1369.85,37279363,17620300000,20.63,4.34,1.06,-0.406736643,0.913545458,-0.866025404,-0.5,1
29-08-2000,1368.65,1373.55,1360.65,1367.7,38510859,19044200000,20.58,4.33,1.06,-0.207911691,0.978147601,-0.866025404,-0.5,1
30-08-2000,1369.9,1384.85,1369.8,1375.95,43639136,21259900000,20.7,4.36,1.08,-1.13E-15,1,-0.866025404,-0.5,1
31-08-2000,1376.5,1397.3,1375.9,1394.1,41752795,29116700000,20.97,4.42,1.06,0.207911691,0.978147601,-0.866025404,-0.5,1
04-09-2000,1395.95,1433.15,1395.95,1427.75,59118945,31667000000,21.69,4.66,1.04,0.743144825,0.669130606,-1,-1.84E-16,1
05-09-2000,1428.05,1434.65,1420.9,1428.25,46660762,22601400000,21.7,4.66,1.04,0.866025404,0.5,-1,-1.84E-16,1
06-09-2000,1430.9,1444.45,1421,1435.35,55564667,25005000000,21.81,4.69,1.12,0.951056516,0.309016994,-1,-1.84E-16,1
07-09-2000,1434.7,1450.2,1424.35,1439.75,50581945,24386400000,21.88,4.7,1.11,0.994521895,0.104528463,-1,-1.84E-16,1
08-09-2000,1440.6,1453.15,1440.6,1450.05,48947780,28959300000,22.03,4.73,1.11,0.994521895,-0.104528463,-1,-1.84E-16,1
11-09-2000,1449.35,1469,1448.95,1456.35,48899129,28134600000,22.13,4.75,1.1,0.743144825,-0.669130606,-1,-1.84E-16,1
12-09-2000,1457.1,1470.55,1447.8,1467.65,44769146,25775400000,22.3,4.79,1.09,0.587785252,-0.809016994,-1,-1.84E-16,1
13-09-2000,1467.65,1482,1452.6,1456.15,40899886,24696000000,22.13,4.75,1.1,0.406736643,-0.913545458,-1,-1.84E-16,1
14-09-2000,1456.75,1466.65,1437.85,1445.3,48935189,30293200000,21.96,4.72,1.11,0.207911691,-0.978147601,-1,-1.84E-16,1
